Word,CEFR,Definition,Synonyms
aaa,C2,an aneurysm of the abdominal aorta associated with old age and hypertension,abdominal_aortic_aneurysm
aachen,C2,a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital,"Aken, Aix-la-Chapelle"
aah,C2,express admiration and pleasure by uttering `ooh' or `aah',ooh
aahed,C2,express admiration and pleasure by uttering `ooh' or `aah',"ooh, aah"
aahing,C2,express admiration and pleasure by uttering `ooh' or `aah',"ooh, aah"
aahs,C2,express admiration and pleasure by uttering `ooh' or `aah',"ooh, aah"
aal,C2,,
aalborg,C2,a city and port in northern Jutland,Alborg
aals,C2,,
aalst,C2,a town in central Belgium,
aalto,C2,Finnish architect and designer of furniture (1898-1976),"Hugo_Alvar_Henrik_Aalto, Alvar_Aalto"
aam,C2,,
aao,C2,,
aap,C2,,
aar,C2,a river in north central Switzerland that runs northeast into the Rhine,"Aare_River, Aare"
aardvark,C2,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata,"ant_bear, anteater, Orycteropus_afer"
aardvarks,C2,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata,"aardvark, ant_bear, anteater, Orycteropus_afer"
aarhus,C2,port city of Denmark in eastern Jutland,Arhus
aaron,C1,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934),"Henry_Louis_Aaron, Hank_Aaron"
aaronic,C1,,
aarp,C2,an association of people to promote the welfare of senior citizens,Association_for_the_Advancement_of_Retired_Persons
aas,B2,an associate degree in applied science,"AA, Associate_in_Applied_Science, aa, Alcoholics_Anonymous"
aba,C2,a loose sleeveless outer garment made from aba cloth; worn by Arabs,
ababa,C2,,
abac,C2,,
abaca,C2,a kind of hemp obtained from the abaca plant in the Philippines,"Manila_hemp, Musa_textilis, Manilla_hemp"
abaci,C2,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,abacus
aback,C2,having the wind against the forward side of the sails,
abactinal,C2,(of radiate animals) located on the surface or end opposite to that on which the mouth is situated,
abacus,C2,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,
abacuses,C2,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave,abacus
abada,C2,,
abadan,C2,a port city in southwestern Iran,
abaddon,C2,,
abadia,C2,,
